RGIId,name,name_RGI60,area,lon,lat,mb_gta,mb_mwea,mb_mwea_sigma,term_type,date_start,length_yr,date0_raw,date1_raw,date0,date1
RGI60-01.00013,Susitna,Susitna Glacier,210,-146.83,63.53,-0.18,-0.86,-0.126133333,Land,5/19/95,18,5/19/95,5/19/13,1995-05-19,2013-05-19
RGI60-01.00041,Gillam,Gillam Glacier,91,-147.11,63.66,-0.08,-0.85,-0.124666667,Land,4/25/96,14,4/25/96,4/25/10,1996-04-25,2010-04-25
RGI60-01.22193,Kahiltna,Kahiltna Glacier,480,-151.23,62.83,-0.37,-0.78,-0.1144,Land,5/17/08,5,5/17/08,5/17/13,2008-05-17,2013-05-17
RGI60-01.00556,Gerstle,Gerstle Glacier,84,-145.38,63.46,-0.06,-0.77,-0.112933333,Land,5/24/05,8,5/24/05,5/24/13,2005-05-24,2013-05-24
RGI60-01.15682,Nizina,Nizina Glacier,304,-142.6,61.8,-0.22,-0.72,-0.1056,Land,6/3/07,6,6/3/07,6/3/13,2007-06-03,2013-06-03
RGI60-01.00021,Maclaren,Maclaren Glacier,57,-146.55,63.37,-0.04,-0.7,-0.102666667,Land,5/24/05,8,5/24/05,5/24/13,2005-05-24,2013-05-24
RGI60-01.21687,Yentna,Yentna Glacier,211,-151.72,62.79,-0.13,-0.63,-0.0924,Land,5/17/08,5,5/17/08,5/17/13,2008-05-17,2013-05-17
RGI60-01.17423,Barnard,Barnard Glacier,512,-141.47,61.24,-0.29,-0.58,-0.085066667,Land,8/19/03,10,8/19/03,8/19/13,2003-08-19,2013-08-19
RGI60-01.00037,Black Rapids,Black Rapids Glacier,235,-146.38,63.45,-0.13,-0.57,-0.0836,Land,5/19/95,18,5/19/95,5/19/13,1995-05-19,2013-05-19
RGI60-01.00570,Gulkana,Gulkana Glacier,18,-145.43,63.28,-0.01,-0.56,-0.082133333,Land,5/17/95,18,5/17/95,5/17/13,1995-05-17,2013-05-17
RGI60-01.15769,Nabesna,Nabesna Glacier,1029,-143.3,61.88,-0.51,-0.5,-0.073333333,Land,6/20/00,13,6/20/00,6/20/13,2000-06-20,2013-06-20
RGI60-01.15645,Kennicott,Kennicott Glacier,293,-143.12,61.64,-0.13,-0.44,-0.064533333,Land,6/16/00,13,6/16/00,6/16/13,2000-06-16,2013-06-16
RGI60-01.22169,Muldrow,Muldrow Glacier,332,-150.66,63.19,-0.13,-0.39,-0.0572,Land,8/3/94,7,8/3/94,8/3/01,1994-08-03,2001-08-03
RGI60-01.19725,Tuxedni,Tuxedni Glacier,93,-153.1,60.12,-0.03,-0.35,-0.051333333,Land,5/14/96,12,5/14/96,5/14/08,1996-05-14,2008-05-14
RGI60-01.17183,Klutlan,Klutlan Glacier,959,-141.09,61.39,-0.21,-0.22,-0.032266667,Land,8/19/03,9,8/19/03,8/19/12,2003-08-19,2012-08-19
RGI60-01.19814,Blockade,Blockade Glacier,255,-152.55,61.02,-0.29,-1.13,-0.165733333,Lake,5/28/08,5,5/28/08,5/28/13,2008-05-28,2013-05-28
RGI60-01.19825,Double,Double Glacier,204,-152.68,60.68,-0.13,-0.66,-0.0968,Lake,5/15/96,17,5/15/96,5/15/13,1996-05-15,2013-05-15
RGI60-01.19460,Tanaina,Tanaina Glacier,158,-152.87,60.93,-0.06,-0.39,-0.0572,Lake,5/15/96,12,5/15/96,5/15/08,1996-05-15,2008-05-15
RGI60-01.19165,Shamrock,Shamrock Glacier,125,-152.82,61.07,-0.04,-0.31,-0.045466667,Lake,5/15/96,17,5/15/96,5/15/13,1996-05-15,2013-05-15
RGI60-01.01741,Scott,Scott Glacier,141,-145.2,60.7,-0.19,-1.36,-0.199466667,Land,8/26/01,12,8/26/01,8/26/13,2001-08-26,2013-08-26
RGI60-01.22699,Variegated,Variegated Glacier,36,-139.17,60,-0.04,-1.24,-0.181866667,Land,6/5/95,5,6/5/95,6/5/00,1995-06-05,2000-06-05
RGI60-01.10979,Tonsina,Tonsina Glacier,41,-145.84,61.31,-0.05,-1.2,-0.176,Land,9/5/04,9,9/5/04,9/5/13,2004-09-05,2013-09-05
RGI60-01.01821,Wortmanns,Wortmanns Glacider,50,-145.72,60.93,-0.05,-1.08,-0.1584,Land,8/25/00,13,8/25/00,8/25/13,2000-08-25,2013-08-25
RGI60-01.01837,Deserted,Deserted Glacier,34,-145.61,61,-0.03,-1.02,-0.1496,Land,8/25/00,13,8/25/00,8/25/13,2000-08-25,2013-08-25
RGI60-01.01743,Sherman,Sherman Glacier,45,-145.1,60.56,-0.05,-1.02,-0.1496,Land,8/25/00,13,8/25/00,8/25/13,2000-08-25,2013-08-25
RGI60-01.13696,Seward,Seward Glacier,3363,-140.43,60.18,-3.1,-0.92,-0.134933333,Land,8/26/00,13,8/26/00,8/26/13,2000-08-26,2013-08-26
RGI60-01.17761,Tustumena,Tustumena Glacier,308,-150.24,59.97,-0.28,-0.92,-0.134933333,Land,5/29/94,13,5/29/94,5/29/07,1994-05-29,2007-05-29
